battery_status->voltage_v_x,battery_status->voltage_v_y,battery_status->voltage_filtered_v_x,battery_status->voltage_filtered_v_y,battery_status->current_a_x,battery_status->current_a_y,battery_status->current_filtered_a_x,battery_status->current_filtered_a_y
73.355968,13.1194334,73.355968,13.05632973,73.355968,13.62759972,73.355968,14.31288624
73.857591,12.7520504,73.857591,13.06334496,73.857591,15.3512001,73.857591,14.2573061
74.35916,12.92607403,74.35916,13.01636982,74.35916,14.99160004,74.35916,14.52367878
74.860665,13.16777325,74.860665,12.97761154,74.860665,13.92519951,74.860665,14.86245537
75.363123,12.80039024,75.363123,12.94563675,75.363123,14.70639992,75.363123,14.88076782
75.864657,13.08076096,75.864657,12.9369936,75.864657,14.56999969,75.864657,14.86670494
76.367188,13.19677639,76.367188,12.95568848,76.367188,12.73479939,76.367188,14.47119236
76.867915,12.87773418,76.867915,12.98693275,76.867915,12.92079926,76.867915,13.8811388
77.370361,13.60283184,77.370361,13.05016422,77.370361,9.820799828,77.370361,12.7082901
77.871991,13.65117168,77.871991,13.17437172,77.871991,9.783599854,77.871991,11.18027878
78.373435,13.23544884,78.373435,13.17927456,78.373435,12.15200043,78.373435,11.32986736
78.875984,13.24511623,78.875984,13.2244482,78.875984,11.61879921,78.875984,10.80391884
79.376768,13.02275372,79.376768,13.28832531,79.376768,8.605599403,79.376768,10.27793026
79.871146,12.70371056,79.871146,13.30385208,79.871146,10.37879944,79.871146,10.28025723
80.372676,13.22578049,80.372676,13.33775806,80.372676,11.44519997,80.372676,10.55995369
80.874336,13.48681545,80.874336,13.35118103,80.874336,10.41600037,80.874336,10.40450001
81.375929,13.75751877,81.375929,13.34521294,81.375929,9.473599434,81.375929,10.49980354
81.878313,13.20644474,81.878313,13.38150024,81.878313,9.783599854,81.878313,10.24945164
82.379921,13.63183498,82.379921,13.37443829,82.379921,11.35840034,82.379921,10.62947845
82.881543,13.65117168,82.881543,13.34325409,82.881543,11.69320011,82.881543,10.71849442
83.383097,13.68017483,83.383097,13.34799862,83.383097,8.159199715,83.383097,10.59548759
83.885239,13.4964838,83.885239,13.37046814,83.885239,9.076799393,83.885239,10.12352943
84.38635,13.62216759,84.38635,13.37482834,84.38635,11.2592001,84.38635,10.45854568
84.88794,12.7230463,84.88794,13.34907913,84.88794,13.66479969,84.88794,10.82905197
85.390384,13.27412033,85.390384,13.34013271,85.390384,12.94559956,85.390384,10.92913818
85.891903,13.46747971,85.891903,13.27781296,85.891903,10.0316,85.891903,11.77361012
86.393524,13.57382774,86.393524,13.25887108,86.393524,9.399199486,86.393524,11.78447533
86.895022,13.21611309,86.895022,13.23946095,86.895022,12.87119961,86.895022,11.78804111
87.396766,14.01855373,87.396766,13.36075401,87.396766,5.703999996,87.396766,9.721307755
87.899108,13.67050743,87.899108,13.42389679,87.899108,9.027199745,87.899108,9.18304348
88.388692,13.28378868,88.388692,13.46930408,88.388692,9.126399994,88.388692,9.005339622
88.890316,13.69951153,88.890316,13.48962307,88.890316,8.680000305,88.890316,9.076262474
89.391945,13.80585861,89.391945,13.51895905,89.391945,8.307999611,89.391945,9.097878456
89.894329,13.29345608,89.894329,13.53477955,89.894329,8.655200005,89.894329,9.333189964
90.395886,13.39980412,90.395886,13.57558155,90.395886,9.696799278,90.395886,8.719752312
90.901552,13.25478458,90.901552,13.55620098,90.901552,9.709199905,90.901552,9.153177261
91.403106,13.46747971,91.403106,13.51218796,91.403106,9.473599434,91.403106,10.01181221
91.904714,13.33212852,91.904714,13.53013229,91.904714,9.399199486,91.904714,9.777091026
92.40631,13.50615215,92.40631,13.55160046,92.40631,8.729599953,92.40631,9.46289444
92.89664,13.71884727,92.89664,13.58166313,92.89664,9.399199486,92.89664,9.126677513
93.39832,13.59316349,93.39832,13.5903492,93.39832,8.494000435,93.39832,8.844134331
93.899864,13.65117168,93.899864,13.56774521,93.899864,10.29199982,93.899864,9.274754524
94.402402,13.94121075,94.402402,13.58853722,94.402402,7.154799938,94.402402,9.071131706
94.903963,13.88320255,94.903963,13.6394453,94.903963,7.663199902,94.903963,8.663361549
95.401503,13.65117168,95.401503,13.65049553,95.401503,8.047599792,95.401503,8.484218597
