"vehicle_air_data->baro_alt_meter_x","vehicle_air_data->baro_alt_meter_y","battery_status->voltage_v_x","battery_status->voltage_v_y","battery_status->voltage_filtered_v_x","battery_status->voltage_filtered_v_y","battery_status->current_a_x","battery_status->current_a_y","battery_status->current_filtered_a_x","battery_status->current_filtered_a_y","actuator_controls_0->control[0]_x","actuator_controls_0->control[0]_y","actuator_controls_0->control[1]_x","actuator_controls_0->control[1]_y","actuator_controls_0->control[2]_x","actuator_controls_0->control[2]_y","actuator_controls_0->control[3]_x","actuator_controls_0->control[3]_y","vehicle_local_position->ax_x","vehicle_local_position->ax_y","vehicle_local_position->ay_x","vehicle_local_position->ay_y","vehicle_local_position->az_x","vehicle_local_position->az_y","vehicle_local_position->vx_x","vehicle_local_position->vx_y","vehicle_local_position->vy_x","vehicle_local_position->vy_y","vehicle_local_position->vz_x","vehicle_local_position->vz_y"
70.564051,146.3897858,96.32631,14.09589767,96.32631,14.00333977,96.32631,10.14319992,96.32631,9.72591877,75.141153,0.07947555929,75.141153,0.0806594491,75.141153,0.03372467682,75.141153,0.4619557559,75.244306,5.851928234,75.244306,-6.60738945,75.244306,17.3406601,75.244306,0.006130319554,75.244306,0.0914895758,75.244306,-1.785063386,
70.588065,146.5588989,96.828763,14.03789043,96.828763,14.01048756,96.828763,8.965199471,96.828763,9.504014969,75.244377,-0.0859754011,75.244377,0.3553006947,75.244377,-0.01376970299,75.244377,0.4666077197,75.340278,9.341870308,75.340278,-3.718348026,75.340278,13.24453926,75.340278,0.01352678984,75.340278,0.1088242158,75.340278,-1.742012978,
70.598928,146.7279968,97.330291,13.50615215,97.330291,13.94220829,97.330291,12.10239983,97.330291,10.27039528,75.344423,0.1353914589,75.344423,-0.441113472,75.344423,0.0389534533,75.344423,0.4681252539,75.443478,-11.4155035,75.443478,2.369904518,75.443478,6.654909134,75.443478,-0.02253186516,75.443478,0.1074117124,75.443478,-1.783841014,
70.609419,146.5588989,97.832712,13.57382774,97.832712,13.92852879,97.832712,10.51519966,97.832712,10.34306049,75.447597,-0.1259027272,75.447597,0.1356381923,75.447597,-0.01514549553,75.447597,0.4777947068,75.547485,6.474313736,75.547485,5.380115032,75.547485,-1.849277854,75.547485,0.009818183258,75.547485,0.1073399261,75.547485,-1.753659844,
70.630619,146.6434479,98.335008,14.04755783,98.335008,13.90368271,98.335008,9.374400139,98.335008,10.35039139,75.547556,-0.1827825159,75.547556,-0.3293777406,75.547556,0.005726492964,75.547556,0.4690267742,75.651479,2.707614422,75.651479,-3.092926979,75.651479,-9.781570435,75.651479,0.02858772688,75.651479,0.08661199361,75.651479,-1.728439212,
70.642709,147.1507721,98.825535,14.12490177,98.825535,13.91098022,98.825535,8.184000015,98.825535,9.86509037,75.651549,0.05025713518,75.651549,-0.007157217246,75.651549,0.03507369384,75.651549,0.47362414,75.746691,10.02493954,75.746691,6.69418478,75.746691,-2.101114273,75.746691,0.04805439338,75.746691,0.1011175439,75.746691,-1.6653862,
70.653834,147.0635834,99.327115,13.98955059,99.327115,13.88544559,99.327115,9.039599419,99.327115,9.96698761,75.750797,0.03912437335,75.750797,-0.01762648858,75.750797,0.01382804289,75.750797,0.4810225368,75.849925,5.32935524,75.849925,2.099144459,75.849925,-8.025229454,75.849925,0.01999018714,75.849925,0.09726496786,75.849925,-1.645910382,
70.675083,146.89711,99.829609,14.25058556,99.829609,13.85119247,99.829609,9.064399719,99.829609,10.11955929,75.853955,-0.07936007529,75.853955,-0.004429935943,75.853955,0.01240639109,75.853955,0.4873848557,75.949878,3.998887777,75.949878,3.137494802,75.949878,1.931442261,75.949878,0.01181344036,75.949878,0.1320338845,75.949878,-1.592762232,
70.686098,147.1507721,100.331166,13.98955059,100.331166,13.86098289,100.331166,10.72599983,100.331166,9.866024971,75.953949,0.1065364853,75.953949,0.08782056719,75.953949,0.01945121214,75.953949,0.4943829179,76.053878,-1.473737359,76.053878,9.876050949,76.053878,-26.56278801,76.053878,0.004888293333,76.053878,0.1515422165,76.053878,-1.655796409,
70.697392,146.812561,100.833658,13.86386681,100.833658,13.83078766,100.833658,10.77559948,100.833658,10.38383293,76.053949,0.1100839525,76.053949,-0.6636717916,76.053949,0.01496045664,76.053949,0.5047776103,76.157078,-1.949273944,76.157078,-1.981959343,76.157078,-9.808179855,76.157078,-0.00655448297,76.157078,0.1610475183,76.157078,-1.703007102,
70.718103,146.9790192,101.335865,13.92187405,101.335865,13.858325,101.335865,8.667599678,101.335865,10.07652092,76.157192,0.1751039028,76.157192,-0.1310437918,76.157192,0.008394227363,76.157192,0.4735703468,76.261117,10.59907818,76.261117,-5.747381687,76.261117,12.55892086,76.261117,0.009093380533,76.261117,0.1753438562,76.261117,-1.651062489,
